PSA,PSA Code,Street,City,State,Zip,Address_Unformatted,Latitude,Longitude,Address,confidence,confidence_city_level,confidence_street_level
Academic and Career Education Academy,56903,884 E Isabella Rd,Midland,MI,48640,"884 E Isabella Rd, Midland, MI 48640",43.611866,-84.335175,"884 East Isabella Road, Midland, MI 48640, United States of America",1,1,1
Academic Transitional Academy,74908,1520 Michigan Rd,Port Huron,MI,48060,"1520 Michigan Rd, Port Huron, MI 48060",42.95172494,-82.48177247,"1520 Michigan Road, Tappan, MI 48060, United States of America",1,1,1
Academy for Business and Technology,82921,19625 Wood St,Melvindale,MI,48122,"19625 Wood St, Melvindale, MI 48122",42.27494627,-83.19616575,"19625 Wood Street, Melvindale, MI 48122, United States of America",1,1,1
Academy for Business and Technology,82921,5277 Calhoun St,Dearborn,MI,48126,"5277 Calhoun St, Dearborn, MI 48126",42.32635881,-83.17497918,"5277 Calhoun Street, Dearborn, MI 48126, United States of America",1,1,1
Academy for Technology and Enterprise,73903,2102 Weiss Street,Saginaw,MI,48602,"2102 Weiss Street, Saginaw, MI 48602",43.44375904,-83.96786906,"2102 Weiss Street, Saginaw, MI 48602, United States of America",1,1,1
Academy of Flint,25908,Po Box 310716,Flint,MI,48531,"Po Box 310716, Flint, MI 48531",43.0161693,-83.6900211,"Flint, MI, United States of America",1,1,
Academy of Health and Science,41912,1710 Woodworth Street Ne,Grand Rapids,MI,49525,"1710 Woodworth Street Ne, Grand Rapids, MI 49525",43.03551049,-85.62754558,"1710 Woodworth Street Northeast, Plainfield Charter Township, MI 49525, United States of America",1,1,1
Academy of Inkster,82961,28500 Avondale St,Inkster,MI,48141,"28500 Avondale St, Inkster, MI 48141",42.293488,-83.314827,"Inkster (Inkster), MI 48141, United States of America",0.25,1,
Academy of International Studies,82738,3056 Hanley St,Hamtramck,MI,48212,"3056 Hanley St, Hamtramck, MI 48212",42.39328932,-83.05232143,"3056 Hanley Street, Hamtramck, MI 48212, United States of America",1,1,1
Academy of Michigan,63908,20820 Greenfield,Oak Park,MI,48237,"20820 Greenfield, Oak Park, MI 48237",42.446829,-83.199343,"20820 Greenfield Road, Oak Park, MI 48237, United States of America",0.9,1,0.9
Academy of Oak Park,63902,20820 Greenfield Rd,Oak Park,MI,48237,"21700 Marlow St, Oak Park, MI 48237",42.454112,-83.195627,"20820 Greenfield Rd, Oak Park, MI 48237, United States of America",1,1,1
Academy of Southfield,63903,18330 George Washington Dr,Southfield,MI,48075,"18330 George Washington Dr, Southfield, MI 48075",42.47156962,-83.22385884,"18330 George Washington Drive, Southfield, MI 48075, United States of America",1,1,1
Academy of Warren,50911,13943 E 8 Mile Rd,Warren,MI,48089,"13943 E 8 Mile Rd, Warren, MI 48089",42.44976507,-82.98189825,"13943 East 8 Mile Road, Warren, MI 48089, United States of America",1,1,1
Academy of Waterford,63916,3000 Sashabaw Rd,Waterford,MI,48329,"3000 Sashabaw Rd, Waterford, MI 48329",42.68309227,-83.3736549,"3000 Sashabaw Road, Waterford Township, MI 48329, United States of America",1,1,1
ACE Academy (SDA),82998,330 Glendale St,Highland Park,MI,48203,"330 Glendale St, Highland Park, MI 48203",42.404236,-83.096018,"Highland Park (Highland Park), MI, United States of America",0.25,1,
Achieve Charter Academy,82717,3250 Denton Rd,Canton,MI,48188,"3250 Denton Rd, Canton, MI 48188",42.28200123,-83.52517557,"3250 Denton Road, Canton Township, MI 48188, United States of America",1,1,1
Advanced Technology Academy,63914,4801 Oakman Blvd,Dearborn,MI,48126,"4801 Oakman Blvd, Dearborn, MI 48126",42.3224688,-83.16824981,"Advanced Technology Academy, 4801 Oakman Boulevard, Dearborn, MI 48126, United States of America",1,1,1
AGBU Alex-Marie Manoogian School,63901,22001 Northwe#rn Hwy,Southfield,MI,48075,"22001 Northwe#rn Hwy, Southfield, MI 48075",42.462064,-83.230398,"Southfield (Southfield), MI 48075, United States of America",0.25,1,
Aisha Shule/WEB Dubois Prep. Academy School,82903,20119 Wisconsin St,Detroit,MI,48221,"20119 Wisconsin St, Detroit, MI 48221",42.44142865,-83.15840476,"20119 Wisconsin Street, Detroit, MI 48221, United States of America",1,1,1
Allen Academy,82955,8666 Quincy St,Detroit,MI,48204,"8666 Quincy St, Detroit, MI 48204",42.36438135,-83.11960976,"8666 Quincy Street, Detroit, MI 48204, United States of America",1,1,1
Allen Academy,82955,14595 Heyden,Detroit,MI,48223,"14595 Heyden, Detroit, MI 48223",42.394834,-83.23960047,"New St. Paul Head Start, 14595 Heyden Street, Detroit, MI 48223, United States of America",0.9,1,0.9
Alternative Educational Academy of Iosco County,35902,40 W M 55,Tawas City,MI,48763,"40 W M 55, Tawas City, MI 48763",44.2798297,-83.5196843,"M 55 East, Tawas City, MI 48764, United States of America",0.483,1,0.81
Alternative Educational Academy of Ogemaw County,65900,2479 S M 76,West Branch,MI,48661,"2479 S M 76, West Branch, MI 48661",44.2629473,-84.21460913,"Alternative Educational Academy of Ogemaw County, 2479 South M-76, West Branch Township, MI 48661, United States of America",1,1,1
Alternative Path Academy,25913,5306 North St,Flint,MI,48505,"5306 North St, Flint, MI 48505",43.06208071,-83.6905098,"5306 North Street, Flint, MI 48505, United States of America",1,1,1
American International Academy,82730,300 S Henry Ruff Rd,Westland,MI,48186,"300 S Henry Ruff Rd, Westland, MI 48186",42.308373,-83.341915,"300 South Henry Ruff, Inkster, MI 48141, United States of America",0.9,1,0.9
American Montessori Academy,82981,14800 Middlebelt Rd,Livonia,MI,48154,"14800 Middlebelt Rd, Livonia, MI 48154",42.39298892,-83.33411247,"14800 Middlebelt Road, Livonia, MI 48154, United States of America",1,1,1
American Montessori Academy,82981,30055 Joy Rd,Westland,MI,48185,"30055 Joy Rd, Westland, MI 48185",42.35446745,-83.33928369,"30055 Joy Road, Livonia, MI 48185, United States of America",1,1,1
Andrew Young Early College Academy,82753,8100 West Davison,Detroit,MI,48238,"8100 West Davison, Detroit, MI 48238",42.387448,-83.150006,"8100 W Davison, Detroit, MI 48238, United States of America",1,1,1
Ann Arbor Learning Community,81904,4377 Textile Rd,Ypsilanti,MI,48197,"4377 Textile Rd, Ypsilanti, MI 48197",42.20134102,-83.67247535,"4377 Textile Road, Pittsfield Charter Township, MI 48197, United States of America",1,1,1
Applied Technology Academy,82952,4801 Oakman,Dearborn,MI,48126,"4801 Oakman, Dearborn, MI 48126",42.3224688,-83.16824981,"Advanced Technology Academy, 4801 Oakman Boulevard, Dearborn, MI 48126, United States of America",0.9,1,0.9
Arbor Academy,13901,55 Arbor St,Battle Creek,MI,49015,"55 Arbor St, Battle Creek, MI 49015",42.30264512,-85.21396743,"55 Arbor Street, Battle Creek, MI 49015, United States of America",1,1,1
Arbor Preparatory High School,81909,6800 Hitchingham Rd,Ypsilanti,MI,48197,"6800 Hitchingham Rd, Ypsilanti, MI 48197",42.18924866,-83.6207097,"6800 Hitchingham Road, Ypsilanti Charter Township, MI 48197, United States of America",1,1,1
Arts Academy in the Woods,50905,32101 Caroline,Fraser,MI,48026,"32101 Caroline, Fraser, MI 48026",42.532412,-82.951935,"32101 Caroline, Fraser, MI 48026, United States of America",1,1,1
Arts and Technology Academy of Pontiac,63915,888 Enterprise Dr,Pontiac,MI,48341,"888 Enterprise Dr, Pontiac, MI 48341",42.62003042,-83.25093706,"888 Enterprise Drive, Pontiac, MI 48341, United States of America",1,1,1
Augusta Academy,39909,600 West Michigan,Augusta,MI,49012,"600 West Michigan, Augusta, MI 49012",42.33518225,-85.35873545,"Child Development Center, 600 West Michigan Avenue, Augusta, MI 49012, United States of America",0.9,1,0.9
Barack Obama Leadership Academy,82933,10800 E Canfield St,Detroit,MI,48214,"10800 E Canfield St, Detroit, MI 48214",42.38066185,-82.98585536,"10800 East Canfield Street, Detroit, MI 48214, United States of America",1,1,1
Battle Creek Area Learning Center,13904,765 Upton Ave,Springfield,MI,49037,"765 Upton Ave, Springfield, MI 49037",42.32233379,-85.22511525,"765 Upton Avenue, Springfield, MI 49037, United States of America",1,1,1
Battle Creek Montessori Academy,13900,399 20th St N,Springfield,MI,49037,"399 20th St N, Springfield, MI 49037",42.321223,-85.220761,"399 North 20th Street, Battle Creek, MI 49037, United States of America",0,1,
Bay City Academy,9903,301 N Farragut St,Bay City,MI,48708,"301 N Farragut St, Bay City, MI 48708",43.592511,-83.879847,"301 North Farragut Street, Bay City, MI 48708, United States of America",1,1,1
Bay-Arenac Community High School,9901,805 Langstaff St,Essexville,MI,48732,"805 Langstaff St, Essexville, MI 48732",43.61200741,-83.83954963,"805 Langstaff Street, Essexville, MI 48732, United States of America",1,1,1
Beacon International Academy,82954,1021 Clairpointe,Detroit,MI,48215,"1021 Clairpointe, Detroit, MI 48215",42.3663803,-82.9590324,"1021 Clairpointe Street, Detroit, MI 48215, United States of America",0.9,1,0.9
Ben Ross Public School Academy,50910,8525 Cole Dr,Warren,MI,48093,"8525 Cole Dr, Warren, MI 48093",42.50879714,-83.01964496,"8525 Cole Drive, Warren, MI 48093, United States of America",1,1,1
Benito Juarez Academy,73904,3830 Lamson Street,Saginaw,MI,48601,"3830 Lamson Street, Saginaw, MI 48601",43.40467797,-83.91438845,"3830 Lamson Street, Saginaw, MI 48601, United States of America",1,1,1
Benjamin Carson Academy,82934,1326 ST. Antoine,Detroit,MI,48226,"1326 ST. Antoine, Detroit, MI 48226",42.336983,-83.040822,"1326 Saint Antoine Street, Detroit, MI 48226, United States of America",1,1,1
