District Code,District,Street,City,City,Zip,Address,Latitude,Longitude,Address_formatted,confidence,confidence_city_level,confidence_street_level
3900,Innocademy Allegan Campus,2611 56th St,Fennville,MI,49408,"2611 56th St, Fennville, MI 49408",42.60976975,-86.09459365,"2611 56th Street, Fennville, MI 49408, United States of America",1,1,1
3901,Discovery Elementary School,P.O. Box 990,Fennville,MI,49408,"P.O. Box 990, Fennville, MI 49408",42.5941052,-86.1045955,"Fennville, MI, United States of America",1,1,
3902,Outlook Academy,310 Thomas St,Allegan,MI,49010,"310 Thomas St, Allegan, MI 49010",42.51765262,-85.86004762,"310 Thomas Street, Allegan, MI 49010, United States of America",1,1,1
3902,Outlook Academy,2879 116th Ave,Allegan,MI,49010,"2879 116th Ave, Allegan, MI 49010",42.53513924,-85.82561616,"2879 116th Avenue, Watson, MI 49010, United States of America",1,1,1
3902,Outlook Academy,2243 33rd St,Allegan,MI,49010,"2243 33rd St, Allegan, MI 49010",42.58195671,-85.869328,"2243 33rd Street, Allegan Township, MI 49010, United States of America",1,1,1
4901,Bingham Arts Academy,555 S Fifth Ave,Alpena,MI,49707,"555 S Fifth Ave, Alpena, MI 49707",45.06253875,-83.44194036,"Bingham School, 555 South 5th Avenue, Alpena, MI 49707, United States of America",0.4,1,0.4
5901,Concord Montessori and Community School,5055 Corey Rd,Mancelona,MI,49659,"5055 Corey Rd, Mancelona, MI 49659",44.960193,-84.989241,"5055 Corey Road, Chestonia Township, MI 49659, United States of America",1,1,1
9901,Bay-Arenac Community High School,805 Langstaff St,Essexville,MI,48732,"805 Langstaff St, Essexville, MI 48732",43.61200741,-83.83954963,"805 Langstaff Street, Essexville, MI 48732, United States of America",1,1,1
9902,State Street Academy,1110 State St,Bay City,MI,48706,"1110 State St, Bay City, MI 48706",43.6166707,-83.8945477,"1110 State Street, Bay City, MI 48706, United States of America",1,1,1
9903,Bay City Academy,301 N Farragut St,Bay City,MI,48708,"301 N Farragut St, Bay City, MI 48708",43.592511,-83.879847,"301 North Farragut Street, Bay City, MI 48708, United States of America",1,1,1
9903,Bay City Academy,809 Saginaw St,Bay City,MI,48708,"809 Saginaw St, Bay City, MI 48708",43.59832988,-83.88902539,"809 Saginaw Street, Bay City, MI 48708, United States of America",1,1,1
9903,Bay City Academy,311 Germania St,Bay City,MI,48706,"311 Germania St, Bay City, MI 48706",43.59051345,-83.90047553,"311 Germania Street, Bay City, MI 48706, United States of America",1,1,1
9903,Bay City Academy,400 N. Madison Avenue,Bay City,MI,48708,"400 N. Madison Avenue, Bay City, MI 48708",43.593903,-83.884983,"400 North Madison Avenue, Bay City, MI 48708, United States of America",1,1,1
9903,Bay City Academy,120 N Jackson St,Bay City,MI,48708,"120 N Jackson St, Bay City, MI 48708",43.58965702,-83.88346196,"120 North Jackson Street, Bay City, MI 48708, United States of America",1,1,1
9903,Bay City Academy,301 North Farragut St,Bay City,MI,48708,"301 North Farragut St, Bay City, MI 48708",43.592511,-83.879847,"301 North Farragut Street, Bay City, MI 48708, United States of America",1,1,1
