School Code,Name,Address,City,ZIP Code,Grade Levels,Locale,District Code,District,ISD Code,ISD Name,LAT,LON
9848,12th Street Elementary,6501 S 12th St,Portage,490241705,"KG, 01, 02, 03, 04, 05",City: Small,39140,Portage Public Schools,39,Kalamazoo RESA,42.2202,-85.646452
4231,5/6 Building at Georgetown,8175 36th Ave,Hudsonville,49426,"05, 06",,70190,Hudsonville Public School District,70,Ottawa Area ISD,42.917311,-85.875621
2449,54th Street Academy,173 54th St SW,Grand Rapids,495485611,"09, 10, 11, 12",Suburb: Large,41140,Kelloggsville Public Schools,41,Kent ISD,42.868235,-85.668427
1,A.A. Rather School,380 E Tuttle Rd,Ionia,488468615,"KG, 01, 02, 03, 04, 05",Rural: Fringe,34010,Ionia Public Schools,34,Ionia ISD,42.9519,-85.0667
3,A.D. Johnston Jr/Sr High School,100 W Lead St,Bessemer,499111007,"07, 08, 09, 10, 11, 12",Rural: Distant,27010,Bessemer Area School District,27,Gogebic-Ontonagon ISD,,
5,A.L. Holmes Academy of Blended Learning,8950 Crane St,Detroit,482132273,"KG, 01, 02, 03, 04, 05, 06, 07, 08",City: Large,82015,Detroit Public Schools Community District,82,Wayne RESA,42.394701,-83.014653
6,Abbot School,2670 Sequoia Pkwy,Ann Arbor,481032662,"KG, 01, 02, 03, 04, 05",City: Midsize,81010,Ann Arbor Public Schools,81,Washtenaw ISD,42.2939,-83.7857
2044,Aberdeen Academy,928 Aberdeen St NE,Grand Rapids,495053817,"KG, 01, 02, 03, 04, 05, 06, 07, 08",City: Midsize,41010,Grand Rapids Public Schools,41,Kent ISD,43.005841,-85.64617
9696,Academic and Career Education Academy,884 E Isabella Rd,Midland,486408326,"09, 10, 11, 12",Rural: Fringe,56903,Academic and Career Education Academy,56,Midland County Educational Service Agency,43.611848,-84.335173
896,Academy 21,11300 Engleman Rd,Warren,480893535,"06, 07, 08, 09, 10, 11, 12",City: Midsize,50010,Center Line Public Schools,50,Macomb ISD,42.480676,-83.011834
9332,Academy for Business and Technology Elementary,5277 Calhoun St,Dearborn,481263203,"KG, 01, 02, 03, 04, 05",City: Midsize,82921,Academy for Business and Technology,82,Wayne RESA,42.3262,-83.1751
8435,Academy for Business and Technology High School,19625 Wood St,Melvindale,481222201,"06, 07, 08, 09, 10, 11, 12",Suburb: Large,82921,Academy for Business and Technology,82,Wayne RESA,42.2746,-83.1967
1355,Academy of Science Math and Technology Early College High School,2130 W US Highway 10,Ludington,494318319,"11, 12",Rural: Fringe,53010,Mason County Central Schools,53,West Shore Educational Service District,43.956293,-86.332822
3645,Academy of the Americas at Logan,3811 Cicotte St,Detroit,482102924,"KG, 01, 02, 03",City: Large,82015,Detroit Public Schools Community District,82,Wayne RESA,43.956293,-86.332822
3276,Academy of The Americas High School,5680 Konkel St,Detroit,482103267,"KG, 04, 05, 06, 07, 08, 09, 10, 11, 12",City: Large,82015,Detroit Public Schools Community District,82,Wayne RESA,43.956293,-86.332822
9602,Academy of Warren,13943 E 8 Mile Rd,Warren,480893351,"KG, 01, 02, 03, 04, 05, 06, 07, 08",City: Midsize,50911,Academy of Warren,50,Macomb ISD,42.328144,-83.122069
1915,Academy West Alternative Education,3400 N Jennings Rd,Flint,485041757,"06, 07, 08, 09, 10, 11, 12",Suburb: Large,25210,Westwood Heights Schools,25,Genesee ISD,42.327067,-83.110759
3000,ACCE,1076 Ecorse Rd,Ypsilanti,481985851,"09, 10, 11, 12",Suburb: Large,81020,Ypsilanti Community Schools,81,Washtenaw ISD,42.4512,-82.9813
5950,Accelerated Learning Academy,1602 S Averill Ave,Flint,485034438,"07, 08, 09, 10, 11, 12",City: Small,25010,"Flint, School District of the City of",25,Genesee ISD,43.0578,-83.7517
7361,ACES Academy,3303 S Third Ave,Alpena,497073307,"07, 08, 09, 10, 11, 12",Town: Remote,4010,Alpena Public Schools,4,Alpena-Montmorency-Alcona ESD,42.234302,-83.590475
110,Achieve Charter Academy,3250 Denton Rd,Canton,481882110,"KG, 01, 02, 03, 04, 05, 06, 07, 08",Rural: Fringe,82717,Achieve Charter Academy,82,Wayne RESA,42.234302,-83.590475
7973,Ackerson High School,121 W Brooklyn Rd,Napoleon,49261,"09, 10, 11, 12",Rural: Fringe,38130,Napoleon Community Schools,38,Jackson ISD,43.011041,-83.64519
1925,ACTech High School,2095 Packard Rd,Ypsilanti,481971833,"09, 10, 11, 12",Suburb: Large,81020,Ypsilanti Community Schools,81,Washtenaw ISD,45.05663,-83.467978
14,Ada Elementary School,731 Ada Dr SE,Ada,493017502,"KG, 01, 02, 03, 04",Suburb: Large,41110,Forest Hills Public Schools,41,Kent ISD,45.05663,-83.467978
9069,Ada Vista Elementary School,7192 Bradfield Ave SE,Ada,493019130,"KG, 01, 02, 03, 04",Suburb: Large,41110,Forest Hills Public Schools,41,Kent ISD,42.281432,-83.528036
5411,Adams Elementary School,4151 Section Line Rd,Bad Axe,484139155,"KG, 01, 02, 03, 04, 05, 06, 07, 08",Rural: Distant,32610,Sigel Township S/D #3F,32,Huron ISD,43.6462,-84.2161
5411,Adams Elementary School,4151 Section Line Rd,Bad Axe,484139155,"KG, 01, 02, 03, 04, 05, 06, 07, 08",Rural: Distant,32610,Sigel Township S/D #3F,32,Huron ISD,42.243812,-83.645861
1146,Adams Elementary School,7447 Adams St,Zeeland,494649659,"KG, 01, 02, 03, 04, 05",Rural: Fringe,70350,Zeeland Public Schools,70,Ottawa Area ISD,42.243862,-83.645939
1146,Adams Elementary School,7447 Adams St,Zeeland,494649659,"KG, 01, 02, 03, 04, 05",Rural: Fringe,70350,Zeeland Public Schools,70,Ottawa Area ISD,42.9526,-85.4942
16,Adams Elementary School,1005 Adams Dr,Midland,486423051,"KG, 01, 02, 03, 04, 05",City: Small,56010,Midland Public Schools,56,Midland County Educational Service Agency,42.954,-85.493
16,Adams Elementary School,1005 Adams Dr,Midland,486423051,"KG, 01, 02, 03, 04, 05",City: Small,56010,Midland Public Schools,56,Midland County Educational Service Agency,42.7851,-85.9668
17,Adams Middle School,33475 Palmer Rd,Westland,481864614,"06, 07, 08",Suburb: Large,82160,Wayne-Westland Community School District,82,Wayne RESA,42.7851,-85.9668
